#####################################################################
# Alchemist log file - simulation started at: 2025-02-24T19:11+0000 #
#####################################################################
#
# assign_mod = RandomProdUnit, seed = 8.0
#
# The columns have the following meaning: 
# time ResultsSize[mean] ResultsSize[max] ResultsSize[min] 
0.0 NaN NaN NaN
0.00981546469597605 NaN NaN NaN
10.009815464695974 38.333333333333336 39.0 38.0
20.00981546469594 83.33333333333333 84.0 83.0
30.009815464695905 130.33333333333334 131.0 130.0
40.00981546469601 176.0 176.0 176.0
50.00981546469615 221.33333333333334 222.0 221.0
60.009815464696295 264.0 265.0 263.0
70.00981546469643 306.0 306.0 306.0
80.00981546469657 350.0 350.0 350.0
90.00981546469671 394.3333333333333 395.0 394.0
100.00981546469686 440.0 440.0 440.0
110.009815464697 482.3333333333333 483.0 482.0
120.00981546469714 526.0 526.0 526.0
130.00981546469714 571.3333333333334 572.0 571.0
140.00981546469657 615.0 615.0 615.0
150.009815464696 659.0 659.0 659.0
160.00981546469544 706.0 707.0 705.0
170.00981546469487 748.6666666666666 749.0 748.0
180.0098154646943 792.0 793.0 791.0
190.00981546469373 837.0 838.0 836.0
200.00981546469316 880.3333333333334 881.0 880.0
210.0098154646926 923.6666666666666 924.0 923.0
220.00981546469202 967.6666666666666 968.0 967.0
230.00981546469146 1013.3333333333334 1014.0 1013.0
240.0098154646909 1055.0 1055.0 1055.0
250.00981546469032 1097.0 1097.0 1097.0
260.0098154646898 1139.6666666666667 1140.0 1139.0
270.0098154646892 1180.3333333333333 1181.0 1180.0
280.00981546468864 1225.6666666666667 1226.0 1225.0
290.0098154646881 1264.0 1264.0 1264.0
300.0098154646875 1314.0 1314.0 1314.0
#####################################################################
# End of data export. Simulation finished at: 2025-02-24T19:12+0000 #
#####################################################################
