#####################################################################
# Alchemist log file - simulation started at: 2025-02-24T19:12+0000 #
#####################################################################
#
# assign_mod = ShortWaitingList, seed = 8.0
#
# The columns have the following meaning: 
# time ResultsSize[mean] ResultsSize[max] ResultsSize[min] 
0.0 NaN NaN NaN
0.00981546469597605 NaN NaN NaN
10.009815464695974 47.333333333333336 48.0 47.0
20.00981546469594 97.33333333333333 98.0 97.0
30.009815464695905 147.33333333333334 148.0 147.0
40.00981546469601 197.33333333333334 198.0 197.0
50.00981546469615 247.33333333333334 248.0 247.0
60.009815464696295 297.3333333333333 298.0 297.0
70.00981546469643 347.3333333333333 348.0 347.0
80.00981546469657 397.3333333333333 398.0 397.0
90.00981546469671 447.3333333333333 448.0 447.0
100.00981546469686 497.3333333333333 498.0 497.0
110.009815464697 547.3333333333334 548.0 547.0
120.00981546469714 597.3333333333334 598.0 597.0
130.00981546469714 647.3333333333334 648.0 647.0
140.00981546469657 697.3333333333334 698.0 697.0
150.009815464696 747.3333333333334 748.0 747.0
160.00981546469544 797.3333333333334 798.0 797.0
170.00981546469487 847.3333333333334 848.0 847.0
180.0098154646943 897.3333333333334 898.0 897.0
190.00981546469373 947.3333333333334 948.0 947.0
200.00981546469316 997.3333333333334 998.0 997.0
210.0098154646926 1047.3333333333333 1048.0 1047.0
220.00981546469202 1097.3333333333333 1098.0 1097.0
230.00981546469146 1147.3333333333333 1148.0 1147.0
240.0098154646909 1197.3333333333333 1198.0 1197.0
250.00981546469032 1247.3333333333333 1248.0 1247.0
260.0098154646898 1297.3333333333333 1298.0 1297.0
270.0098154646892 1347.3333333333333 1348.0 1347.0
280.00981546468864 1397.3333333333333 1398.0 1397.0
290.0098154646881 1447.3333333333333 1448.0 1447.0
300.0098154646875 1497.3333333333333 1498.0 1497.0
#####################################################################
# End of data export. Simulation finished at: 2025-02-24T19:12+0000 #
#####################################################################
