#####################################################################
# Alchemist log file - simulation started at: 2025-02-24T19:11+0000 #
#####################################################################
#
# assign_mod = RandomProdUnit, seed = 4.0
#
# The columns have the following meaning: 
# time ResultsSize[mean] ResultsSize[max] ResultsSize[min] 
0.0 NaN NaN NaN
0.06104834951914939 NaN NaN NaN
10.061048349519147 39.0 39.0 39.0
20.061048349519112 82.0 82.0 82.0
30.061048349519076 122.66666666666667 123.0 122.0
40.06104834951918 169.0 170.0 168.0
50.061048349519325 217.0 217.0 217.0
60.06104834951947 255.0 255.0 255.0
70.06104834951961 298.3333333333333 299.0 298.0
80.06104834951975 347.0 347.0 347.0
90.0610483495199 390.0 390.0 390.0
100.06104834952004 432.6666666666667 433.0 432.0
110.06104834952018 474.3333333333333 475.0 474.0
120.06104834952032 519.0 519.0 519.0
130.06104834952032 562.3333333333334 563.0 562.0
140.06104834951975 610.0 610.0 610.0
150.06104834951918 655.0 655.0 655.0
160.06104834951861 699.0 699.0 699.0
170.06104834951805 743.0 743.0 743.0
180.06104834951748 785.3333333333334 786.0 785.0
190.0610483495169 829.3333333333334 830.0 829.0
200.06104834951634 879.3333333333334 880.0 879.0
210.06104834951577 923.3333333333334 924.0 923.0
220.0610483495152 968.0 968.0 968.0
230.06104834951464 1010.3333333333334 1011.0 1010.0
240.06104834951407 1055.0 1055.0 1055.0
250.0610483495135 1097.6666666666667 1098.0 1097.0
260.06104834951293 1140.0 1140.0 1140.0
270.06104834951236 1182.3333333333333 1183.0 1182.0
280.0610483495118 1221.6666666666667 1222.0 1221.0
290.0610483495112 1270.6666666666667 1271.0 1270.0
300.06104834951066 1311.6666666666667 1312.0 1311.0
#####################################################################
# End of data export. Simulation finished at: 2025-02-24T19:12+0000 #
#####################################################################
