#####################################################################
# Alchemist log file - simulation started at: 2025-02-24T19:14+0000 #
#####################################################################
#
# assign_mod = Self, seed = 68.0
#
# The columns have the following meaning: 
# time ResultsSize[mean] ResultsSize[max] ResultsSize[min] 
0.0 NaN NaN NaN
0.0016996984100827728 NaN NaN NaN
10.001699698410082 22.666666666666668 23.0 22.0
20.001699698410082 43.0 43.0 43.0
30.001699698410082 60.666666666666664 61.0 60.0
40.00169969841008 80.66666666666667 81.0 80.0
50.00169969841008 97.33333333333333 98.0 97.0
60.00169969841008 108.66666666666667 109.0 108.0
70.00169969841008 127.66666666666667 128.0 127.0
80.00169969841008 143.33333333333334 144.0 143.0
90.00169969841008 159.66666666666666 160.0 159.0
100.00169969841008 172.0 172.0 172.0
110.00169969841008 187.0 187.0 187.0
120.00169969841008 201.0 201.0 201.0
130.00169969841008 219.0 219.0 219.0
140.00169969841008 231.33333333333334 232.0 231.0
150.00169969841008 246.0 246.0 246.0
160.00169969841008 265.3333333333333 266.0 265.0
170.00169969841008 279.3333333333333 280.0 279.0
180.00169969841008 292.6666666666667 293.0 292.0
190.00169969841008 308.3333333333333 309.0 308.0
200.00169969841008 322.3333333333333 323.0 322.0
210.00169969841008 337.0 337.0 337.0
220.00169969841008 347.0 347.0 347.0
230.00169969841008 361.0 361.0 361.0
240.00169969841008 377.0 377.0 377.0
250.00169969841008 393.0 393.0 393.0
260.0016996984101 408.3333333333333 409.0 408.0
270.0016996984101 422.6666666666667 423.0 422.0
280.0016996984101 439.6666666666667 440.0 439.0
290.0016996984101 455.0 455.0 455.0
300.0016996984101 471.3333333333333 472.0 471.0
#####################################################################
# End of data export. Simulation finished at: 2025-02-24T19:14+0000 #
#####################################################################
