#####################################################################
# Alchemist log file - simulation started at: 2025-02-24T19:14+0000 #
#####################################################################
#
# assign_mod = Self, seed = 73.0
#
# The columns have the following meaning: 
# time ResultsSize[mean] ResultsSize[max] ResultsSize[min] 
0.0 NaN NaN NaN
0.031132255244108765 NaN NaN NaN
10.031132255244106 21.0 21.0 21.0
20.03113225524407 39.333333333333336 40.0 39.0
30.031132255244035 58.0 58.0 58.0
40.031132255244145 74.0 74.0 74.0
50.03113225524429 87.33333333333333 88.0 87.0
60.03113225524443 107.0 107.0 107.0
70.03113225524457 120.33333333333333 121.0 120.0
80.03113225524471 136.0 136.0 136.0
90.03113225524486 150.0 150.0 150.0
100.031132255245 164.33333333333334 165.0 164.0
110.03113225524514 181.0 181.0 181.0
120.03113225524528 195.0 195.0 195.0
130.03113225524527 211.0 211.0 211.0
140.0311322552447 226.0 226.0 226.0
150.03113225524413 242.0 242.0 242.0
160.03113225524356 258.0 258.0 258.0
170.031132255243 275.0 275.0 275.0
180.03113225524243 291.0 291.0 291.0
190.03113225524186 306.0 306.0 306.0
200.0311322552413 322.3333333333333 323.0 322.0
210.03113225524072 337.3333333333333 338.0 337.0
220.03113225524015 353.0 353.0 353.0
230.03113225523958 372.0 372.0 372.0
240.03113225523902 386.3333333333333 387.0 386.0
250.03113225523845 403.0 403.0 403.0
260.0311322552379 419.3333333333333 420.0 419.0
270.0311322552373 434.0 434.0 434.0
280.03113225523674 449.0 449.0 449.0
290.0311322552362 465.0 465.0 465.0
300.0311322552356 479.0 479.0 479.0
#####################################################################
# End of data export. Simulation finished at: 2025-02-24T19:14+0000 #
#####################################################################
