#####################################################################
# Alchemist log file - simulation started at: 2025-02-24T19:14+0000 #
#####################################################################
#
# assign_mod = Self, seed = 50.0
#
# The columns have the following meaning: 
# time ResultsSize[mean] ResultsSize[max] ResultsSize[min] 
0.0 NaN NaN NaN
0.018773435254175873 NaN NaN NaN
10.018773435254174 23.333333333333332 24.0 23.0
20.01877343525414 44.0 44.0 44.0
30.018773435254104 61.333333333333336 62.0 61.0
40.01877343525421 76.33333333333333 77.0 76.0
50.01877343525435 90.33333333333333 91.0 90.0
60.018773435254495 106.33333333333333 107.0 106.0
70.01877343525463 123.33333333333333 124.0 123.0
80.01877343525477 141.33333333333334 142.0 141.0
90.01877343525491 155.0 155.0 155.0
100.01877343525506 170.33333333333334 171.0 170.0
110.0187734352552 188.0 188.0 188.0
120.01877343525534 207.0 207.0 207.0
130.01877343525533 223.0 223.0 223.0
140.01877343525476 239.0 239.0 239.0
150.0187734352542 250.33333333333334 251.0 250.0
160.01877343525362 264.0 264.0 264.0
170.01877343525305 281.3333333333333 282.0 281.0
180.01877343525248 294.0 294.0 294.0
190.01877343525192 310.0 310.0 310.0
200.01877343525135 325.3333333333333 326.0 325.0
210.01877343525078 342.0 342.0 342.0
220.0187734352502 359.0 359.0 359.0
230.01877343524964 376.0 376.0 376.0
240.01877343524907 395.0 395.0 395.0
250.0187734352485 408.3333333333333 409.0 408.0
260.01877343524797 427.0 427.0 427.0
270.0187734352474 441.3333333333333 442.0 441.0
280.0187734352468 460.0 460.0 460.0
290.01877343524626 474.3333333333333 475.0 474.0
300.0187734352457 488.0 488.0 488.0
#####################################################################
# End of data export. Simulation finished at: 2025-02-24T19:14+0000 #
#####################################################################
