#####################################################################
# Alchemist log file - simulation started at: 2025-02-24T19:14+0000 #
#####################################################################
#
# assign_mod = ShortWaitingList, seed = 54.0
#
# The columns have the following meaning: 
# time ResultsSize[mean] ResultsSize[max] ResultsSize[min] 
0.0 NaN NaN NaN
0.030772264690987327 NaN NaN NaN
10.030772264690984 38.333333333333336 39.0 38.0
20.03077226469095 78.33333333333333 79.0 78.0
30.030772264690913 116.33333333333333 117.0 116.0
40.030772264691024 155.33333333333334 156.0 155.0
50.030772264691166 195.33333333333334 196.0 195.0
60.03077226469131 235.33333333333334 236.0 235.0
70.03077226469145 274.3333333333333 275.0 274.0
80.03077226469159 314.3333333333333 315.0 314.0
90.03077226469173 353.3333333333333 354.0 353.0
100.03077226469188 393.3333333333333 394.0 393.0
110.03077226469202 433.3333333333333 434.0 433.0
120.03077226469216 473.3333333333333 474.0 473.0
130.03077226469216 513.3333333333334 514.0 513.0
140.0307722646916 553.3333333333334 554.0 553.0
150.03077226469102 593.3333333333334 594.0 593.0
160.03077226469046 633.3333333333334 634.0 633.0
170.0307722646899 673.3333333333334 674.0 673.0
180.03077226468932 713.3333333333334 714.0 713.0
190.03077226468875 752.3333333333334 753.0 752.0
200.03077226468818 792.3333333333334 793.0 792.0
210.0307722646876 832.3333333333334 833.0 832.0
220.03077226468704 872.3333333333334 873.0 872.0
230.03077226468648 912.3333333333334 913.0 912.0
240.0307722646859 952.3333333333334 953.0 952.0
250.03077226468534 992.3333333333334 993.0 992.0
260.0307722646848 1032.3333333333333 1033.0 1032.0
270.03077226468423 1072.3333333333333 1073.0 1072.0
280.03077226468366 1112.3333333333333 1113.0 1112.0
290.0307722646831 1152.3333333333333 1153.0 1152.0
300.0307722646825 1192.3333333333333 1193.0 1192.0
#####################################################################
# End of data export. Simulation finished at: 2025-02-24T19:14+0000 #
#####################################################################
