#####################################################################
# Alchemist log file - simulation started at: 2025-02-24T19:14+0000 #
#####################################################################
#
# assign_mod = Self, seed = 70.0
#
# The columns have the following meaning: 
# time ResultsSize[mean] ResultsSize[max] ResultsSize[min] 
0.0 NaN NaN NaN
0.03573884108913376 NaN NaN NaN
10.035738841089131 23.0 23.0 23.0
20.035738841089096 43.0 43.0 43.0
30.03573884108906 62.333333333333336 63.0 62.0
40.03573884108917 80.0 80.0 80.0
50.03573884108931 99.33333333333333 100.0 99.0
60.035738841089454 118.0 118.0 118.0
70.0357388410896 132.0 132.0 132.0
80.03573884108974 150.33333333333334 151.0 150.0
90.03573884108988 167.33333333333334 168.0 167.0
100.03573884109002 186.33333333333334 187.0 186.0
110.03573884109016 203.0 203.0 203.0
120.0357388410903 223.0 223.0 223.0
130.0357388410903 239.0 239.0 239.0
140.03573884108974 256.3333333333333 257.0 256.0
150.03573884108917 273.0 273.0 273.0
160.0357388410886 291.0 291.0 291.0
170.03573884108803 308.0 308.0 308.0
180.03573884108746 327.0 327.0 327.0
190.0357388410869 343.0 343.0 343.0
200.03573884108633 359.0 359.0 359.0
210.03573884108576 378.0 378.0 378.0
220.0357388410852 397.3333333333333 398.0 397.0
230.03573884108462 417.0 417.0 417.0
240.03573884108405 434.0 434.0 434.0
250.0357388410835 450.0 450.0 450.0
260.03573884108295 467.0 467.0 467.0
270.0357388410824 485.0 485.0 485.0
280.0357388410818 499.0 499.0 499.0
290.03573884108124 516.3333333333334 517.0 516.0
300.0357388410807 533.0 533.0 533.0
#####################################################################
# End of data export. Simulation finished at: 2025-02-24T19:14+0000 #
#####################################################################
