#####################################################################
# Alchemist log file - simulation started at: 2025-02-24T19:14+0000 #
#####################################################################
#
# assign_mod = RandomProdUnit, seed = 50.0
#
# The columns have the following meaning: 
# time ResultsSize[mean] ResultsSize[max] ResultsSize[min] 
0.0 NaN NaN NaN
0.018773435254175873 NaN NaN NaN
10.018773435254174 35.666666666666664 36.0 35.0
20.01877343525414 73.0 73.0 73.0
30.018773435254104 107.66666666666667 109.0 106.0
40.01877343525421 149.66666666666666 150.0 149.0
50.01877343525435 191.0 192.0 190.0
60.018773435254495 230.0 230.0 230.0
70.01877343525463 269.0 270.0 268.0
80.01877343525477 309.3333333333333 310.0 309.0
90.01877343525491 348.6666666666667 349.0 348.0
100.01877343525506 385.3333333333333 386.0 384.0
110.0187734352552 421.6666666666667 422.0 421.0
120.01877343525534 460.3333333333333 461.0 460.0
130.01877343525533 499.6666666666667 500.0 499.0
140.01877343525476 538.0 539.0 537.0
150.0187734352542 576.0 577.0 575.0
160.01877343525362 612.6666666666666 613.0 612.0
170.01877343525305 650.3333333333334 651.0 650.0
180.01877343525248 690.3333333333334 691.0 690.0
190.01877343525192 729.3333333333334 730.0 729.0
200.01877343525135 768.0 769.0 766.0
210.01877343525078 809.6666666666666 810.0 809.0
220.0187734352502 849.0 849.0 849.0
230.01877343524964 886.6666666666666 888.0 885.0
240.01877343524907 924.3333333333334 925.0 923.0
250.0187734352485 962.3333333333334 963.0 961.0
260.01877343524797 999.3333333333334 1000.0 998.0
270.0187734352474 1043.0 1043.0 1043.0
280.0187734352468 1083.6666666666667 1084.0 1083.0
290.01877343524626 1119.6666666666667 1120.0 1119.0
300.0187734352457 1157.3333333333333 1158.0 1157.0
#####################################################################
# End of data export. Simulation finished at: 2025-02-24T19:14+0000 #
#####################################################################
