#####################################################################
# Alchemist log file - simulation started at: 2025-02-24T19:14+0000 #
#####################################################################
#
# assign_mod = ShortWaitingList, seed = 63.0
#
# The columns have the following meaning: 
# time ResultsSize[mean] ResultsSize[max] ResultsSize[min] 
0.0 NaN NaN NaN
0.013709040851433629 NaN NaN NaN
10.013709040851431 37.666666666666664 38.0 37.0
20.013709040851396 77.66666666666667 78.0 77.0
30.01370904085136 117.66666666666667 118.0 117.0
40.01370904085147 157.66666666666666 158.0 157.0
50.01370904085161 197.66666666666666 198.0 197.0
60.01370904085175 237.66666666666666 238.0 237.0
70.0137090408519 277.6666666666667 278.0 277.0
80.01370904085204 317.6666666666667 318.0 317.0
90.01370904085218 357.6666666666667 358.0 357.0
100.01370904085232 397.6666666666667 398.0 397.0
110.01370904085246 437.6666666666667 438.0 437.0
120.0137090408526 476.6666666666667 477.0 476.0
130.0137090408526 516.6666666666666 517.0 516.0
140.01370904085204 556.6666666666666 557.0 556.0
150.01370904085147 596.6666666666666 597.0 596.0
160.0137090408509 636.6666666666666 637.0 636.0
170.01370904085033 676.6666666666666 677.0 676.0
180.01370904084976 716.6666666666666 717.0 716.0
190.0137090408492 755.6666666666666 756.0 755.0
200.01370904084862 795.6666666666666 796.0 795.0
210.01370904084806 835.6666666666666 836.0 835.0
220.0137090408475 875.6666666666666 876.0 875.0
230.01370904084692 915.6666666666666 916.0 915.0
240.01370904084635 955.6666666666666 956.0 955.0
250.01370904084578 995.6666666666666 996.0 995.0
260.01370904084524 1035.6666666666667 1036.0 1035.0
270.0137090408447 1075.6666666666667 1076.0 1075.0
280.0137090408441 1115.6666666666667 1116.0 1115.0
290.01370904084354 1155.6666666666667 1156.0 1155.0
300.01370904084297 1195.6666666666667 1196.0 1195.0
#####################################################################
# End of data export. Simulation finished at: 2025-02-24T19:14+0000 #
#####################################################################
