#####################################################################
# Alchemist log file - simulation started at: 2025-02-24T19:14+0000 #
#####################################################################
#
# assign_mod = RandomProdUnit, seed = 69.0
#
# The columns have the following meaning: 
# time ResultsSize[mean] ResultsSize[max] ResultsSize[min] 
0.0 NaN NaN NaN
0.02155964013805618 NaN NaN NaN
10.021559640138054 35.666666666666664 36.0 35.0
20.02155964013802 73.33333333333333 74.0 72.0
30.021559640137983 111.33333333333333 112.0 111.0
40.02155964013809 148.66666666666666 150.0 146.0
50.021559640138236 186.0 186.0 186.0
60.02155964013838 226.0 227.0 224.0
70.02155964013852 264.6666666666667 265.0 264.0
80.02155964013866 302.6666666666667 303.0 302.0
90.0215596401388 340.6666666666667 341.0 340.0
100.02155964013895 379.3333333333333 380.0 379.0
110.02155964013909 417.3333333333333 419.0 415.0
120.02155964013923 458.6666666666667 459.0 458.0
130.02155964013923 493.0 493.0 493.0
140.02155964013866 534.0 534.0 534.0
150.0215596401381 572.6666666666666 573.0 572.0
160.02155964013753 610.6666666666666 611.0 610.0
170.02155964013696 651.3333333333334 652.0 651.0
180.0215596401364 690.0 691.0 689.0
190.02155964013582 727.6666666666666 728.0 727.0
200.02155964013525 766.3333333333334 767.0 766.0
210.02155964013468 806.6666666666666 807.0 806.0
220.02155964013411 847.3333333333334 848.0 846.0
230.02155964013355 884.0 884.0 884.0
240.02155964013298 922.0 922.0 922.0
250.0215596401324 961.6666666666666 963.0 960.0
260.02155964013184 1000.3333333333334 1001.0 1000.0
270.0215596401313 1040.0 1040.0 1040.0
280.0215596401307 1078.6666666666667 1079.0 1078.0
290.02155964013014 1119.6666666666667 1120.0 1119.0
300.02155964012957 1158.0 1158.0 1158.0
#####################################################################
# End of data export. Simulation finished at: 2025-02-24T19:14+0000 #
#####################################################################
