#####################################################################
# Alchemist log file - simulation started at: 2025-02-24T19:14+0000 #
#####################################################################
#
# assign_mod = RandomProdUnit, seed = 30.0
#
# The columns have the following meaning: 
# time ResultsSize[mean] ResultsSize[max] ResultsSize[min] 
0.0 NaN NaN NaN
0.0018411572263595521 NaN NaN NaN
10.001841157226359 34.333333333333336 35.0 33.0
20.00184115722636 72.33333333333333 73.0 72.0
30.00184115722636 111.33333333333333 112.0 111.0
40.00184115722636 149.0 149.0 149.0
50.00184115722636 187.66666666666666 188.0 187.0
60.00184115722636 227.0 228.0 226.0
70.00184115722635 267.3333333333333 268.0 267.0
80.00184115722635 305.3333333333333 307.0 303.0
90.00184115722635 344.6666666666667 346.0 343.0
100.00184115722635 386.3333333333333 387.0 386.0
110.00184115722635 425.3333333333333 426.0 424.0
120.00184115722635 464.6666666666667 465.0 464.0
130.00184115722635 502.3333333333333 503.0 501.0
140.00184115722635 540.3333333333334 541.0 539.0
150.00184115722635 581.0 582.0 580.0
160.00184115722635 617.6666666666666 618.0 617.0
170.00184115722635 659.0 660.0 658.0
180.00184115722635 698.3333333333334 699.0 698.0
190.00184115722635 730.0 730.0 730.0
200.00184115722635 771.6666666666666 772.0 771.0
210.00184115722635 811.6666666666666 812.0 811.0
220.00184115722635 850.6666666666666 851.0 850.0
230.00184115722635 888.0 889.0 887.0
240.00184115722635 928.3333333333334 929.0 927.0
250.00184115722635 967.6666666666666 968.0 967.0
260.00184115722635 1008.3333333333334 1009.0 1008.0
270.00184115722635 1047.6666666666667 1048.0 1047.0
280.00184115722635 1087.0 1087.0 1087.0
290.00184115722635 1124.0 1125.0 1122.0
300.00184115722635 1164.0 1165.0 1163.0
#####################################################################
# End of data export. Simulation finished at: 2025-02-24T19:14+0000 #
#####################################################################
