#####################################################################
# Alchemist log file - simulation started at: 2025-02-24T19:14+0000 #
#####################################################################
#
# assign_mod = Self, seed = 53.0
#
# The columns have the following meaning: 
# time ResultsSize[mean] ResultsSize[max] ResultsSize[min] 
0.0 NaN NaN NaN
0.0012775056370474935 NaN NaN NaN
10.001277505637045 21.0 21.0 21.0
20.00127750563701 40.666666666666664 41.0 40.0
30.001277505636974 61.0 61.0 61.0
40.001277505637084 78.0 78.0 78.0
50.001277505637226 97.0 97.0 97.0
60.00127750563737 113.0 113.0 113.0
70.0012775056375 129.0 129.0 129.0
80.00127750563765 145.0 145.0 145.0
90.00127750563779 160.66666666666666 161.0 160.0
100.00127750563793 175.66666666666666 176.0 175.0
110.00127750563807 193.66666666666666 194.0 193.0
120.00127750563821 210.0 210.0 210.0
130.0012775056382 228.0 228.0 228.0
140.00127750563763 247.0 247.0 247.0
150.00127750563706 262.0 262.0 262.0
160.0012775056365 276.6666666666667 277.0 276.0
170.00127750563593 293.6666666666667 294.0 293.0
180.00127750563536 309.0 309.0 309.0
190.0012775056348 323.6666666666667 324.0 323.0
200.00127750563422 340.6666666666667 341.0 340.0
210.00127750563365 358.0 358.0 358.0
220.00127750563308 375.6666666666667 376.0 375.0
230.00127750563252 392.0 392.0 392.0
240.00127750563195 411.0 411.0 411.0
250.00127750563138 428.0 428.0 428.0
260.0012775056308 442.0 442.0 442.0
270.00127750563024 459.0 459.0 459.0
280.0012775056297 474.6666666666667 475.0 474.0
290.0012775056291 488.6666666666667 489.0 488.0
300.00127750562854 507.0 507.0 507.0
#####################################################################
# End of data export. Simulation finished at: 2025-02-24T19:14+0000 #
#####################################################################
