#####################################################################
# Alchemist log file - simulation started at: 2025-02-24T19:14+0000 #
#####################################################################
#
# assign_mod = ShortWaitingList, seed = 94.0
#
# The columns have the following meaning: 
# time ResultsSize[mean] ResultsSize[max] ResultsSize[min] 
0.0 NaN NaN NaN
0.006214579069508508 NaN NaN NaN
10.006214579069509 37.333333333333336 38.0 36.0
20.006214579069507 77.33333333333333 78.0 76.0
30.006214579069507 117.33333333333333 118.0 116.0
40.00621457906951 157.33333333333334 158.0 156.0
50.00621457906951 197.33333333333334 198.0 196.0
60.00621457906951 237.33333333333334 238.0 236.0
70.0062145790695 277.3333333333333 278.0 276.0
80.0062145790695 317.3333333333333 318.0 316.0
90.0062145790695 357.3333333333333 358.0 356.0
100.0062145790695 397.3333333333333 398.0 396.0
110.0062145790695 437.3333333333333 438.0 436.0
120.0062145790695 477.3333333333333 478.0 476.0
130.0062145790695 517.3333333333334 518.0 516.0
140.0062145790695 557.3333333333334 558.0 556.0
150.0062145790695 597.3333333333334 598.0 596.0
160.0062145790695 637.3333333333334 638.0 636.0
170.0062145790695 677.3333333333334 678.0 676.0
180.0062145790695 717.3333333333334 718.0 716.0
190.0062145790695 757.3333333333334 758.0 756.0
200.0062145790695 797.3333333333334 798.0 796.0
210.0062145790695 837.3333333333334 838.0 836.0
220.0062145790695 877.3333333333334 878.0 876.0
230.0062145790695 917.3333333333334 918.0 916.0
240.0062145790695 957.3333333333334 958.0 956.0
250.0062145790695 997.3333333333334 998.0 996.0
260.0062145790695 1037.3333333333333 1038.0 1036.0
270.0062145790695 1077.3333333333333 1078.0 1076.0
280.0062145790695 1117.3333333333333 1118.0 1116.0
290.0062145790695 1157.3333333333333 1158.0 1156.0
300.0062145790695 1197.3333333333333 1198.0 1196.0
#####################################################################
# End of data export. Simulation finished at: 2025-02-24T19:14+0000 #
#####################################################################
