#####################################################################
# Alchemist log file - simulation started at: 2025-02-24T19:14+0000 #
#####################################################################
#
# assign_mod = RandomProdUnit, seed = 97.0
#
# The columns have the following meaning: 
# time ResultsSize[mean] ResultsSize[max] ResultsSize[min] 
0.0 NaN NaN NaN
0.006536262360735368 NaN NaN NaN
10.006536262360733 36.333333333333336 37.0 36.0
20.006536262360697 75.33333333333333 76.0 75.0
30.00653626236066 113.33333333333333 114.0 113.0
40.00653626236077 149.0 149.0 149.0
50.00653626236091 188.66666666666666 189.0 188.0
60.00653626236105 228.66666666666666 229.0 228.0
70.0065362623612 266.0 267.0 265.0
80.00653626236134 306.0 306.0 306.0
90.00653626236148 345.0 345.0 345.0
100.00653626236162 384.0 385.0 383.0
110.00653626236176 424.3333333333333 425.0 424.0
120.0065362623619 463.0 464.0 462.0
130.0065362623619 501.0 501.0 501.0
140.00653626236132 539.0 539.0 539.0
150.00653626236075 577.6666666666666 578.0 577.0
160.00653626236019 615.6666666666666 616.0 615.0
170.00653626235962 651.6666666666666 653.0 650.0
180.00653626235905 694.0 695.0 693.0
190.00653626235848 729.6666666666666 730.0 729.0
200.0065362623579 765.3333333333334 766.0 765.0
210.00653626235734 801.3333333333334 802.0 801.0
220.00653626235678 837.6666666666666 838.0 837.0
230.0065362623562 878.0 878.0 878.0
240.00653626235564 916.6666666666666 917.0 916.0
250.00653626235507 956.3333333333334 957.0 955.0
260.00653626235453 994.0 995.0 993.0
270.00653626235396 1034.0 1035.0 1033.0
280.0065362623534 1073.6666666666667 1074.0 1073.0
290.0065362623528 1109.6666666666667 1110.0 1109.0
300.00653626235226 1150.3333333333333 1151.0 1150.0
#####################################################################
# End of data export. Simulation finished at: 2025-02-24T19:14+0000 #
#####################################################################
