#####################################################################
# Alchemist log file - simulation started at: 2025-02-24T19:14+0000 #
#####################################################################
#
# assign_mod = ShortWaitingList, seed = 70.0
#
# The columns have the following meaning: 
# time ResultsSize[mean] ResultsSize[max] ResultsSize[min] 
0.0 NaN NaN NaN
0.03573884108913376 NaN NaN NaN
10.035738841089131 38.333333333333336 39.0 38.0
20.035738841089096 78.33333333333333 79.0 78.0
30.03573884108906 118.33333333333333 119.0 118.0
40.03573884108917 158.33333333333334 159.0 158.0
50.03573884108931 198.33333333333334 199.0 198.0
60.035738841089454 238.33333333333334 239.0 238.0
70.0357388410896 278.3333333333333 279.0 278.0
80.03573884108974 318.3333333333333 319.0 318.0
90.03573884108988 358.3333333333333 359.0 358.0
100.03573884109002 398.3333333333333 399.0 398.0
110.03573884109016 438.3333333333333 439.0 438.0
120.0357388410903 478.3333333333333 479.0 478.0
130.0357388410903 518.3333333333334 519.0 518.0
140.03573884108974 558.3333333333334 559.0 558.0
150.03573884108917 598.3333333333334 599.0 598.0
160.0357388410886 638.3333333333334 639.0 638.0
170.03573884108803 678.3333333333334 679.0 678.0
180.03573884108746 718.3333333333334 719.0 718.0
190.0357388410869 758.3333333333334 759.0 758.0
200.03573884108633 798.3333333333334 799.0 798.0
210.03573884108576 838.3333333333334 839.0 838.0
220.0357388410852 878.3333333333334 879.0 878.0
230.03573884108462 918.3333333333334 919.0 918.0
240.03573884108405 958.3333333333334 959.0 958.0
250.0357388410835 998.3333333333334 999.0 998.0
260.03573884108295 1038.3333333333333 1039.0 1038.0
270.0357388410824 1078.3333333333333 1079.0 1078.0
280.0357388410818 1118.3333333333333 1119.0 1118.0
290.03573884108124 1158.3333333333333 1159.0 1158.0
300.0357388410807 1198.3333333333333 1199.0 1198.0
#####################################################################
# End of data export. Simulation finished at: 2025-02-24T19:14+0000 #
#####################################################################
