#####################################################################
# Alchemist log file - simulation started at: 2025-02-24T19:14+0000 #
#####################################################################
#
# assign_mod = Self, seed = 17.0
#
# The columns have the following meaning: 
# time ResultsSize[mean] ResultsSize[max] ResultsSize[min] 
0.0 NaN NaN NaN
9.12951403644735E-4 NaN NaN NaN
10.000912951403642 20.0 20.0 20.0
20.000912951403606 42.0 42.0 42.0
30.00091295140357 62.0 62.0 62.0
40.00091295140368 79.0 79.0 79.0
50.00091295140382 99.0 99.0 99.0
60.00091295140396 119.0 119.0 119.0
70.0009129514041 139.0 139.0 139.0
80.00091295140425 153.0 153.0 153.0
90.00091295140439 170.0 170.0 170.0
100.00091295140453 188.0 188.0 188.0
110.00091295140467 203.0 203.0 203.0
120.00091295140481 221.0 221.0 221.0
130.0009129514048 239.0 239.0 239.0
140.00091295140425 255.0 255.0 255.0
150.00091295140368 272.0 272.0 272.0
160.0009129514031 286.0 286.0 286.0
170.00091295140254 303.0 303.0 303.0
180.00091295140197 317.0 317.0 317.0
190.0009129514014 336.0 336.0 336.0
200.00091295140084 355.0 355.0 355.0
210.00091295140027 367.0 367.0 367.0
220.0009129513997 386.0 386.0 386.0
230.00091295139913 406.0 406.0 406.0
240.00091295139856 424.0 424.0 424.0
250.000912951398 440.0 440.0 440.0
260.0009129513974 458.0 458.0 458.0
270.00091295139686 475.0 475.0 475.0
280.0009129513963 490.0 490.0 490.0
290.0009129513957 506.0 506.0 506.0
300.00091295139515 523.0 523.0 523.0
#####################################################################
# End of data export. Simulation finished at: 2025-02-24T19:14+0000 #
#####################################################################
