#####################################################################
# Alchemist log file - simulation started at: 2025-02-24T19:14+0000 #
#####################################################################
#
# assign_mod = ShortWaitingList, seed = 86.0
#
# The columns have the following meaning: 
# time ResultsSize[mean] ResultsSize[max] ResultsSize[min] 
0.0 NaN NaN NaN
0.002954475098940268 NaN NaN NaN
10.002954475098937 37.666666666666664 38.0 37.0
20.002954475098903 77.66666666666667 78.0 77.0
30.002954475098868 117.66666666666667 118.0 117.0
40.002954475098974 157.66666666666666 158.0 157.0
50.002954475099116 197.66666666666666 198.0 197.0
60.00295447509926 237.66666666666666 238.0 237.0
70.0029544750994 277.6666666666667 278.0 277.0
80.00295447509954 317.6666666666667 318.0 317.0
90.00295447509968 357.6666666666667 358.0 357.0
100.00295447509983 397.6666666666667 398.0 397.0
110.00295447509997 437.6666666666667 438.0 437.0
120.00295447510011 477.6666666666667 478.0 477.0
130.0029544751001 517.6666666666666 518.0 517.0
140.00295447509953 557.6666666666666 558.0 557.0
150.00295447509896 597.6666666666666 598.0 597.0
160.0029544750984 637.6666666666666 638.0 637.0
170.00295447509782 677.6666666666666 678.0 677.0
180.00295447509725 717.6666666666666 718.0 717.0
190.0029544750967 757.6666666666666 758.0 757.0
200.00295447509612 797.6666666666666 798.0 797.0
210.00295447509555 837.6666666666666 838.0 837.0
220.00295447509498 877.6666666666666 878.0 877.0
230.0029544750944 917.6666666666666 918.0 917.0
240.00295447509384 957.6666666666666 958.0 957.0
250.00295447509328 997.6666666666666 998.0 997.0
260.00295447509274 1037.6666666666667 1038.0 1037.0
270.00295447509217 1077.6666666666667 1078.0 1077.0
280.0029544750916 1117.6666666666667 1118.0 1117.0
290.00295447509103 1157.6666666666667 1158.0 1157.0
300.00295447509046 1197.6666666666667 1198.0 1197.0
#####################################################################
# End of data export. Simulation finished at: 2025-02-24T19:14+0000 #
#####################################################################
