#####################################################################
# Alchemist log file - simulation started at: 2025-02-24T19:14+0000 #
#####################################################################
#
# assign_mod = Self, seed = 34.0
#
# The columns have the following meaning: 
# time ResultsSize[mean] ResultsSize[max] ResultsSize[min] 
0.0 NaN NaN NaN
0.007604843263966243 NaN NaN NaN
10.007604843263964 22.333333333333332 23.0 22.0
20.00760484326393 42.333333333333336 43.0 42.0
30.007604843263895 63.333333333333336 64.0 63.0
40.007604843264005 79.33333333333333 80.0 79.0
50.00760484326415 93.0 93.0 93.0
60.00760484326429 106.33333333333333 107.0 106.0
70.00760484326443 123.33333333333333 124.0 123.0
80.00760484326457 137.66666666666666 139.0 137.0
90.00760484326472 152.0 152.0 152.0
100.00760484326486 168.33333333333334 169.0 168.0
110.007604843265 183.66666666666666 185.0 183.0
120.00760484326514 199.33333333333334 200.0 199.0
130.00760484326514 216.33333333333334 217.0 216.0
140.00760484326457 232.33333333333334 233.0 232.0
150.007604843264 246.66666666666666 248.0 246.0
160.00760484326344 260.3333333333333 261.0 260.0
170.00760484326287 274.3333333333333 275.0 274.0
180.0076048432623 290.3333333333333 291.0 290.0
190.00760484326173 306.3333333333333 307.0 306.0
200.00760484326116 320.0 320.0 320.0
210.0076048432606 338.3333333333333 339.0 338.0
220.00760484326003 353.3333333333333 354.0 353.0
230.00760484325946 371.0 371.0 371.0
240.0076048432589 387.3333333333333 388.0 387.0
250.00760484325832 401.0 401.0 401.0
260.00760484325775 417.3333333333333 418.0 417.0
270.0076048432572 435.3333333333333 436.0 435.0
280.0076048432566 453.0 453.0 453.0
290.00760484325605 469.0 469.0 469.0
300.0076048432555 481.3333333333333 482.0 481.0
#####################################################################
# End of data export. Simulation finished at: 2025-02-24T19:14+0000 #
#####################################################################
