#####################################################################
# Alchemist log file - simulation started at: 2025-02-24T19:14+0000 #
#####################################################################
#
# assign_mod = ShortWaitingList, seed = 99.0
#
# The columns have the following meaning: 
# time ResultsSize[mean] ResultsSize[max] ResultsSize[min] 
0.0 NaN NaN NaN
0.07277394584431005 NaN NaN NaN
10.072773945844308 37.666666666666664 38.0 37.0
20.072773945844272 77.66666666666667 78.0 77.0
30.072773945844236 117.66666666666667 118.0 117.0
40.07277394584435 156.66666666666666 157.0 156.0
50.07277394584449 196.66666666666666 197.0 196.0
60.07277394584463 236.66666666666666 237.0 236.0
70.07277394584477 276.6666666666667 277.0 276.0
80.07277394584492 314.6666666666667 315.0 314.0
90.07277394584506 354.6666666666667 355.0 354.0
100.0727739458452 394.6666666666667 395.0 394.0
110.07277394584534 434.6666666666667 435.0 434.0
120.07277394584548 474.6666666666667 475.0 474.0
130.07277394584548 514.6666666666666 515.0 514.0
140.07277394584492 554.6666666666666 555.0 554.0
150.07277394584435 594.6666666666666 595.0 594.0
160.07277394584378 633.6666666666666 634.0 633.0
170.0727739458432 673.6666666666666 674.0 673.0
180.07277394584264 713.6666666666666 714.0 713.0
190.07277394584207 753.6666666666666 754.0 753.0
200.0727739458415 793.6666666666666 794.0 793.0
210.07277394584094 833.6666666666666 834.0 833.0
220.07277394584037 873.6666666666666 874.0 873.0
230.0727739458398 913.6666666666666 914.0 913.0
240.07277394583923 953.6666666666666 954.0 953.0
250.07277394583866 993.6666666666666 994.0 993.0
260.0727739458381 1033.6666666666667 1034.0 1033.0
270.0727739458375 1073.6666666666667 1074.0 1073.0
280.07277394583696 1113.6666666666667 1114.0 1113.0
290.0727739458364 1153.6666666666667 1154.0 1153.0
300.0727739458358 1193.6666666666667 1194.0 1193.0
#####################################################################
# End of data export. Simulation finished at: 2025-02-24T19:14+0000 #
#####################################################################
